Время,Время моделирования,Стац - средняя реология
0,494500,17.488
0,495000,4.95988
0,495500,13.7698
0,496000,20.3235
0,496500,8.09987
0,497000,19.9693
0,497500,22.2599
0,498000,15.0804
0,498500,15.7997
0,499000,15.8205
0,499500,2.2732
0,500000,52.2876
0,500500,-87.6646
0,501000,-25.4384
0,501500,-18.2744
0,502000,-20.1845
0,502500,-1.68344
0,503000,-6.4332
0,503500,-6.56638
0,504000,-12.8476
0,504500,-6.94496
0,505000,-0.0677464
0,505500,-0.281116
0,506000,-4.75291
0,506500,-2.82266
0,507000,4.54099
0,507500,-7.52062
0,508000,1.24076
0,508500,-9.25877
0,509000,8.86213
0,509500,1.47822
0,510000,24.708
0,510500,14.5903
0,511000,6.47162
0,511500,22.9293
0,512000,8.01436
0,512500,10.2306
0,513000,8.3543
0,513500,7.48935
0,514000,13.992
0,514500,10.4239
0,515000,13.048
0,515500,4.1308
0,516000,16.4009
0,516500,20.6265
0,517000,-1.44459
0,517500,-1.53991
0,518000,7.23565
0,518500,4.16253
0,519000,10.2247
0,519500,-0.634204
0,520000,9.62507
0,520500,17.3364
0,521000,-1.77467
0,521500,5.1407
0,522000,9.1979
0,522500,9.48568
0,523000,5.64966
0,523500,-5.27032
0,524000,2.70488
0,524500,9.68515
0,525000,4.61705
0,525500,6.68279
0,526000,-3.61435
0,526500,6.5829
0,527000,7.28451
0,527500,-3.70423
0,528000,5.30666
0,528500,-14.6202
0,529000,-5.6154
0,529500,5.9242
0,530000,-9.15975
0,530500,1.25702
0,531000,-11.0175
0,531500,3.90948
0,532000,6.17124
0,532500,-6.24888
0,533000,3.78973
0,533500,-2.85154
0,534000,-1.785
0,534500,-2.0682
0,535000,-11.6726
0,535500,-12.1957
0,536000,-4.93818
0,536500,-8.80873
0,537000,6.30025
0,537500,-8.31426
0,538000,-5.17683
0,538500,-9.62544
0,539000,-10.4285
0,539500,-0.529309
0,540000,0.325375
0,540500,-5.62614
0,541000,-1.0504
0,541500,-8.27459
0,542000,-10.5503
0,542500,8.32254
0,543000,-5.79057
0,543500,-6.5989
0,544000,6.27968
0,544500,2.88056
0,545000,-12.8978
0,545500,-17.7749
0,546000,-17.6127
0,546500,-14.3426
0,547000,-14.8076
0,547500,3.33462
0,548000,-21.9033
0,548500,-20.9168
0,549000,-17.1525
0,549500,-3.33878
0,550000,-23.4447
0,550500,-18.0649
0,551000,-18.1776
0,551500,-14.8811
0,552000,-29.2304
0,552500,-16.9859
0,553000,-16.726
0,553500,-14.0342
0,554000,-6.78741
0,554500,-21.0735
0,555000,-23.4038
0,555500,-14.803
0,556000,-9.88735
0,556500,-17.7677
0,557000,-34.5097
0,557500,-25.3747
0,558000,-21.0777
0,558500,-15.2137
0,559000,-19.776
0,559500,-12.8705
0,560000,-12.632
0,560500,-17.9985
0,561000,-11.0615
0,561500,-38.0267
0,562000,-17.4898
0,562500,-42.0847
0,563000,-16.8931
0,563500,-16.0068
0,564000,-16.3829
0,564500,-28.3261
0,565000,-17.78
0,565500,-34.7494
0,566000,-26.3169
0,566500,-20.7838
0,567000,-28.6836
0,567500,-35.0302
0,568000,-27.3454
0,568500,-25.94
0,569000,-11.9946
0,569500,-22.5186
0,570000,-34.6157
0,570500,-23.8987
0,571000,-35.0261
0,571500,-27.3007
0,572000,-45.2104
0,572500,-23.6828
0,573000,-31.2497
0,573500,-27.033
0,574000,-19.013
0,574500,-13.8491
0,575000,-16.839
0,575500,-26.7341
0,576000,-5.79815
0,576500,-26.1733
0,577000,-26.5787
0,577500,-16.4431
0,578000,-14.6666
0,578500,-20.6873
0,579000,-11.6814
0,579500,-30.0147
0,580000,-34.747
0,580500,-19.9063
0,581000,-16.8818
0,581500,-38.1361
0,582000,-30.8099
0,582500,-36.653
0,583000,-11.2803
0,583500,-5.91084
0,584000,-25.9491
0,584500,-31.4754
0,585000,-23.7037
0,585500,-19.8147
0,586000,-22.3996
0,586500,-20.2612
0,587000,-28.0495
0,587500,-13.2015
0,588000,-13.2432
0,588500,-27.6395
0,589000,-32.2497
0,589500,-19.1887
0,590000,-15.2061
0,590500,-18.7135
0,591000,-28.9124
0,591500,-2.95443
0,592000,-21.8392
0,592500,-28.772
0,593000,-19.9554
0,593500,-16.6549
0,594000,-26.7584
0,594500,-18.5471
0,595000,-10.7543
0,595500,-29.6339
0,596000,-9.29256
0,596500,-13.1832
0,597000,-18.7498
0,597500,-18.1727
0,598000,-11.8285
0,598500,-7.81181
0,599000,-9.18361
0,599500,-32.6841
0,600000,-11.0771
0,600500,-12.0248
0,601000,3.16949
0,601500,-4.06915
0,602000,-16.5075
0,602500,-4.47459
0,603000,-5.3636
0,603500,-1.09203
0,604000,-15.4467
0,604500,-2.71599
0,605000,-7.01671
0,605500,1.30251
0,606000,-12.8227
0,606500,-11.6928
0,607000,-9.80818
0,607500,-5.62054
0,608000,10.8607
0,608500,-5.94031
0,609000,3.83309
0,609500,5.82242
0,610000,-2.83693
0,610500,0.750613
0,611000,0.47886
0,611500,0.697578
0,612000,-5.96082
0,612500,-8.83614
0,613000,-4.60511
0,613500,-3.20109
0,614000,10.5969
0,614500,4.67369
0,615000,-10.8409
0,615500,1.68175
0,616000,-4.28481
0,616500,-10.3165
0,617000,-6.36504
0,617500,-7.56854
0,618000,-4.2234
0,618500,-0.453214
0,619000,-5.06698
0,619500,-12.5787
0,620000,5.98071
0,620500,-7.39267
0,621000,-8.92753
0,621500,-4.03291
0,622000,0.439146
0,622500,-14.9933
0,623000,-12.957
0,623500,2.92408
0,624000,-18.8532
0,624500,2.55814
0,625000,-3.0633
0,625500,-11.6601
0,626000,0.993355
0,626500,-7.22934
0,627000,0.163785
0,627500,4.74313
0,628000,-3.17051
0,628500,-2.22013
0,629000,8.32392
0,629500,13.947
0,630000,-13.4928
0,630500,-11.8541
0,631000,1.96251
0,631500,1.85768
0,632000,5.03863
0,632500,-16.5332
0,633000,-3.80141
0,633500,-7.2789
0,634000,4.79893
0,634500,-3.44765
0,635000,-9.66511
0,635500,-3.58833
0,636000,-15.7937
0,636500,-6.37732
